q-num, recip_rank
1,0.3333
10,0.2500
100,1.0000
11,0.1429
12,1.0000
13,0.0625
14,0.2500
15,1.0000
16,0.2000
17,0.1250
18,1.0000
19,0.0000
2,1.0000
20,0.0000
21,1.0000
22,0.0091
23,0.3333
24,0.0556
25,0.5000
26,0.0667
27,1.0000
28,1.0000
29,0.0556
3,0.5000
30,0.0250
31,0.0111
32,1.0000
33,1.0000
34,1.0000
35,1.0000
36,0.0021
37,1.0000
38,1.0000
39,1.0000
4,1.0000
40,0.0303
41,1.0000
42,0.5000
43,0.0526
44,0.0000
45,0.2000
46,1.0000
47,1.0000
48,0.5000
49,1.0000
5,0.5000
50,1.0000
51,0.0011
52,0.0042
53,1.0000
54,0.1000
55,1.0000
56,1.0000
57,0.0025
58,1.0000
59,1.0000
6,0.5000
60,1.0000
61,0.5000
62,0.1667
63,0.0000
64,1.0000
65,1.0000
66,1.0000
67,0.2500
68,0.0120
69,0.0000
7,0.0047
70,1.0000
71,0.5000
72,1.0000
73,0.3333
74,0.2500
75,0.0097
76,0.1250
77,1.0000
78,1.0000
79,1.0000
8,0.0238
80,0.2500
81,0.0323
82,0.0400
83,0.5000
84,1.0000
85,0.5000
86,1.0000
87,1.0000
88,0.5000
89,1.0000
9,0.0526
90,1.0000
91,1.0000
92,1.0000
93,1.0000
94,1.0000
95,1.0000
96,0.0082
97,1.0000
98,0.0238
99,1.0000
