q-num, recip_rank
1,1.0000
10,0.5000
100,1.0000
11,0.0097
12,0.1111
13,0.1111
14,0.0088
15,0.1429
16,1.0000
17,0.0833
18,1.0000
19,0.0053
2,1.0000
20,0.5000
21,1.0000
22,0.0147
23,1.0000
24,0.0556
25,1.0000
26,1.0000
27,1.0000
28,1.0000
29,1.0000
3,1.0000
30,1.0000
31,1.0000
32,1.0000
33,1.0000
34,1.0000
35,1.0000
36,1.0000
37,1.0000
38,1.0000
39,0.3333
4,1.0000
40,0.5000
41,1.0000
42,1.0000
43,0.1000
44,0.5000
45,1.0000
46,1.0000
47,1.0000
48,1.0000
49,1.0000
5,0.0909
50,0.3333
51,1.0000
52,1.0000
53,0.5000
54,0.5000
55,1.0000
56,1.0000
57,0.5000
58,1.0000
59,1.0000
6,1.0000
60,1.0000
61,1.0000
62,1.0000
63,1.0000
64,1.0000
65,1.0000
66,1.0000
67,1.0000
68,1.0000
69,0.3333
7,0.2000
70,0.3333
71,1.0000
72,1.0000
73,1.0000
74,1.0000
75,0.1111
76,0.0909
77,1.0000
78,1.0000
79,1.0000
8,0.2500
80,0.2500
81,0.1000
82,0.0526
83,1.0000
84,1.0000
85,1.0000
86,0.1667
87,1.0000
88,1.0000
89,1.0000
9,1.0000
90,1.0000
91,1.0000
92,1.0000
93,1.0000
94,1.0000
95,1.0000
96,1.0000
97,1.0000
98,0.2000
99,1.0000
